sku,title,summary,price_gbp,product_url,image_url,image_alt,vendor,product_type,in_stock
BTR172,BTR Waterproof Hi Vis Backpack & Rucksack Cover,"This waterproof backpack cover slips over your rucksack in seconds and keeps everything inside completely dry, even in heavy rain. The hi-vis fabric with reflective strips makes you far more visible to drivers in low light, and because t...",11.99,https://btrsports.co.uk/products/high-visibility-reflective-100-waterproof-backpack-cover,https://cdn.shopify.com/s/files/1/2318/5147/files/btr-waterproof-yellow-backpack-cover.png?v=1773650308&width=800,BTR yellow waterproof hi vis backpack cover worn by a cyclist,BTR Sports,High Visibility Waterproof Backpack Covers,yes
BTR215,BTR Extra Large Heavy Duty Waterproof Bicycle Cover For 1 or 2 Bikes,"Most bike covers are a false economy. Thin, flimsy material that rips within weeks and blows away in the first strong wind. We know, because we spent years testing them before designing our own. At 2.5kg, the BTR Heavy Duty Waterproof Bi...",44.99,https://btrsports.co.uk/products/btr-heavy-duty-bike-cover-waterproof-bicycle-cover-suitable-for-bicycles-scooters,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-waterproof-heavy-duty-extra-large-bicycle-cover.jpg?v=1785667688&width=800,BTR heavy duty waterproof bicycle cover in black with BTR logo,BTR Sports,Waterproof Bicycle Covers,yes
BTR527,"BTR High Visibility & Reflective Cycling, Running, Riding Gilet & Vest","This hi-vis reflective gilet gives you maximum visibility whether you're out in daylight or after dark. The unique 50/50 design combines bright hi-vis yellow panels with large reflective sections, so you stand out during the day and glow...",24.99,https://btrsports.co.uk/products/btr-high-visibility-reflective-gilet-vest,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-yellow-silver-high-vis-running-reflective-gilet.jpg?v=1785335125&width=800,"BTR yellow and silver gilet reflecting bright white in the dark, worn by a man",BTR Sports,High Visibility Vests and Gilets,no
BTR430,Hi Vis Reflective Running and Cycling Jacket | Reflective and Yellow,"This hi-vis reflective cycling jacket gives you maximum visibility whether you ride in daylight or after dark. The unique 50/50 design combines bright hi-vis yellow panels with large reflective sections, so you stand out in daylight and...",44.99,https://btrsports.co.uk/products/high-visibility-waterproof-reflective-cycling-running-jacket-high-viz,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-high-vis-reflective-cycling-running-jacket.jpg?v=1785335053&width=800,"BTR reflective cycling and running jacket glowing bright white in the dark, worn by a man",BTR Sports,High Visibility Reflective Cycling & Running Jackets,yes
BTR005,BTR Waterproof Hi Vis Cycling Helmet Cover,"This waterproof cycling helmet cover slips over your helmet in seconds and keeps your head completely dry in heavy rain. It seals the ventilation holes that let in wind and cold air on winter rides, and the hi-vis colours with reflective...",9.99,https://btrsports.co.uk/products/bicycle-high-visibility-waterproof-bike-helmet-cover-high-viz,https://cdn.shopify.com/s/files/1/2318/5147/files/btr-waterproof-yellow-cycling-helmet-cover.png?v=1773597391&width=800,BTR waterproof yellow hi vis cycling helmet cover with reflective strips ,BTR Sports,High Visibility Waterproof Bicycle Helmet Covers,yes
BTR057,"BTR 2L Hydration Bladder, BPA-Free Water Bag for Running, Cycling and Hiking","The BTR hydration bladder gives you hands-free water on the bike, on the trail, and on the run. It is a 2 litre BPA-free water bladder with a 100 cm hose, bite valve and on/off switch, so you can sip without breaking stride, without rumm...",11.99,https://btrsports.co.uk/products/btr-hydration-bladder-water-bag-2l-bpa-free,https://cdn.shopify.com/s/files/1/2318/5147/products/bag_1.jpg?v=1628151049&width=800,,BTR Sports,Hydration Packs & Bladders,yes
BTR285,BTR Bike Handlebar Bag with Phone Holder with Sun Visor,"A bike handlebar bag with a built-in phone holder and sun visor. Mount it on your handlebars and you can follow your GPS, change music and check messages through the touchscreen window without taking your phone out. The dedicated sun vis...",14.99,https://btrsports.co.uk/products/btr-bike-handlebar-bag-phone-holder-sun-visor,https://cdn.shopify.com/s/files/1/2318/5147/products/btr-bike-handlebar-phone-bag.jpg?v=1785327549&width=800,BTR handlebar bike bag with phone holder and sun visor,BTR Sports,Bicycle Bags and Panniers,yes
BTR294,BTR Bike Phone Mount and Phone Holder | Fits All Phones & Handlebars,"This simple silicone phone mount straps your phone securely to your handlebars in seconds. No tools, no clamps, no complicated brackets — just stretch it on and go. One piece of durable silicone holds your phone firmly in place so you ca...",12.99,https://btrsports.co.uk/products/btr-silicone-handlebar-mobile-phone-mount-fits-all-phones-and-bikes,https://cdn.shopify.com/s/files/1/2318/5147/files/btr-bike-phone-holder-portrait-view-on-handlebars.png?v=1784021014&width=800,bike phone holder with phone in portrait view,BTR Sports,Bike Phone Handlebar Mounts,yes
BTR350,BTR Silicone Bicycle Front and Rear LED Bike Lights. 1 Red & 1 White,"A no-fuss pair of LED bike lights you can slip onto almost any bike, scooter or pram in seconds. One bright white front, one red rear, batteries already in the box. Squeeze the silicone band around your handlebar or seatpost, press the t...",6.99,https://btrsports.co.uk/products/btr-silicone-bicycle-front-and-rear-led-bike-lights,https://cdn.shopify.com/s/files/1/2318/5147/products/Silicone_lights.jpg?v=1542889775&width=800,"BTR silicone front and rear LED bike lights, one red and one white",BTR Sports,Bicycle Lights,yes
BTR013,BTR Cycling Bicycle Tyre Puncture Repair Kit,"Fully functional puncture repair kit all supplied in a convenient plastic case. Basic kit includes patches, chalk, glue, metal rasp and 2 x plastic tyre levers",6.99,https://btrsports.co.uk/products/btr-cycling-bicycle-tyre-puncture-repair-kit,https://cdn.shopify.com/s/files/1/2318/5147/files/puncture_kit.png?v=1774879514&width=800,,BTR Sports,Bicycle Puncture Repair Kits,yes
